"country","resort","year","month","date","lower","upper"
"Austria","Alpbach",2017,1,"2017-1-1",41,72
"Austria","Alpbach",2014,2,"2014-2-1",30,99
"Austria","Alpbach",2015,2,"2015-2-1",53,121
"Austria","Alpbach",2016,2,"2016-2-1",36,119
"Austria","Alpbach",2014,3,"2014-3-1",29,95
"Austria","Alpbach",2015,3,"2015-3-1",49,108
"Austria","Alpbach",2016,3,"2016-3-1",49,139
"Austria","Alpbach",2014,4,"2014-4-1",7,38
"Austria","Alpbach",2015,4,"2015-4-1",11,42
"Austria","Alpbach",2016,4,"2016-4-1",1,27
"Austria","Flachau",2013,11,"2013-11-1",2,22
"Austria","Flachau",2015,11,"2015-11-1",7,15
"Austria","Flachau",2016,11,"2016-11-1",0,57
"Austria","Flachau",2013,12,"2013-12-1",36,100
"Austria","Flachau",2014,12,"2014-12-1",41,91
"Austria","Flachau",2015,12,"2015-12-1",30,50
"Austria","Flachau",2016,12,"2016-12-1",30,98
"Austria","Flachau",2014,1,"2014-1-1",22,108
"Austria","Flachau",2015,1,"2015-1-1",64,142
"Austria","Flachau",2016,1,"2016-1-1",42,79
"Austria","Flachau",2017,1,"2017-1-1",60,130
"Austria","Flachau",2014,2,"2014-2-1",13,132
"Austria","Flachau",2015,2,"2015-2-1",64,165
"Austria","Flachau",2016,2,"2016-2-1",54,117
"Austria","Flachau",2014,3,"2014-3-1",31,130
"Austria","Flachau",2015,3,"2015-3-1",47,149
"Austria","Flachau",2016,3,"2016-3-1",55,130
"Austria","Flachau",2014,4,"2014-4-1",21,79
"Austria","Flachau",2015,4,"2015-4-1",15,49
"Austria","Flachau",2016,4,"2016-4-1",8,27
"Austria","Scheffau",2013,11,"2013-11-1",0,0
"Austria","Scheffau",2015,11,"2015-11-1",0,2
"Austria","Scheffau",2016,11,"2016-11-1",0,0
"Austria","Scheffau",2013,12,"2013-12-1",17,31
"Austria","Scheffau",2014,12,"2014-12-1",30,56
"Austria","Scheffau",2015,12,"2015-12-1",10,28
"Austria","Scheffau",2016,12,"2016-12-1",20,37
"Austria","Scheffau",2014,1,"2014-1-1",21,49
"Austria","Scheffau",2015,1,"2015-1-1",43,65
"Austria","Scheffau",2016,1,"2016-1-1",34,53
"Austria","Scheffau",2017,1,"2017-1-1",31,38
"Austria","Scheffau",2014,2,"2014-2-1",36,69
"Austria","Scheffau",2015,2,"2015-2-1",66,87
"Austria","Scheffau",2016,2,"2016-2-1",52,63
"Austria","Scheffau",2014,3,"2014-3-1",20,52
"Austria","Scheffau",2015,3,"2015-3-1",40,64
"Austria","Scheffau",2016,3,"2016-3-1",48,59
"Austria","Scheffau",2014,4,"2014-4-1",0,0
"Austria","Scheffau",2015,4,"2015-4-1",6,17
"Austria","Scheffau",2016,4,"2016-4-1",1,2
"Austria","Obertauern",2013,11,"2013-11-1",22,40
"Austria","Obertauern",2015,11,"2015-11-1",14,24
"Austria","Obertauern",2016,11,"2016-11-1",20,40
"Austria","Obertauern",2013,12,"2013-12-1",90,128
"Austria","Obertauern",2014,12,"2014-12-1",56,83
"Austria","Obertauern",2015,12,"2015-12-1",30,50
"Austria","Obertauern",2016,12,"2016-12-1",32,65
"Austria","Obertauern",2014,1,"2014-1-1",99,137
"Austria","Obertauern",2015,1,"2015-1-1",98,138
"Austria","Obertauern",2016,1,"2016-1-1",50,74
"Austria","Obertauern",2017,1,"2017-1-1",65,115
"Austria","Obertauern",2014,2,"2014-2-1",110,155
"Austria","Obertauern",2015,2,"2015-2-1",135,175
"Austria","Obertauern",2016,2,"2016-2-1",86,124
"Austria","Obertauern",2014,3,"2014-3-1",126,176
"Austria","Obertauern",2015,3,"2015-3-1",147,193
"Austria","Obertauern",2016,3,"2016-3-1",136,169
"Austria","Obertauern",2014,4,"2014-4-1",86,135
"Austria","Obertauern",2015,4,"2015-4-1",140,196
"Austria","Obertauern",2016,4,"2016-4-1",100,134
"Austria","Solden",2013,11,"2013-11-1",8,115
"Austria","Solden",2015,11,"2015-11-1",0,95
"Austria","Solden",2016,11,"2016-11-1",8,119
"Austria","Solden",2013,12,"2013-12-1",7,162
"Austria","Solden",2014,12,"2014-12-1",6,216
"Austria","Solden",2015,12,"2015-12-1",4,135
"Austria","Solden",2016,12,"2016-12-1",10,138
"Austria","Solden",2014,1,"2014-1-1",10,213
"Austria","Solden",2015,1,"2015-1-1",7,260
"Austria","Solden",2016,1,"2016-1-1",11,190
"Austria","Solden",2017,1,"2017-1-1",10,158
"Austria","Solden",2014,2,"2014-2-1",12,270
"Austria","Solden",2015,2,"2015-2-1",16,299
"Austria","Solden",2016,2,"2016-2-1",15,262
"Austria","Solden",2014,3,"2014-3-1",7,284
"Austria","Solden",2015,3,"2015-3-1",5,327
"Austria","Solden",2016,3,"2016-3-1",12,303
"Austria","Solden",2014,4,"2014-4-1",0,298
"Austria","Solden",2015,4,"2015-4-1",3,318
"Austria","Solden",2016,4,"2016-4-1",2,295
"Austria","Ischgl",2013,11,"2013-11-1",3,15
"Austria","Ischgl",2015,11,"2015-11-1",2,90
"Austria","Ischgl",2016,11,"2016-11-1",0,16
"Austria","Ischgl",2013,12,"2013-12-1",15,60
"Austria","Ischgl",2014,12,"2014-12-1",10,51
"Austria","Ischgl",2015,12,"2015-12-1",4,30
"Austria","Ischgl",2016,12,"2016-12-1",2,40
"Austria","Ischgl",2014,1,"2014-1-1",16,66
"Austria","Ischgl",2015,1,"2015-1-1",10,67
"Austria","Ischgl",2016,1,"2016-1-1",21,60
"Austria","Ischgl",2017,1,"2017-1-1",11,46
"Austria","Ischgl",2014,2,"2014-2-1",31,93
"Austria","Ischgl",2015,2,"2015-2-1",29,85
"Austria","Ischgl",2016,2,"2016-2-1",30,94
"Austria","Ischgl",2014,3,"2014-3-1",24,111
"Austria","Ischgl",2015,3,"2015-3-1",17,100
"Austria","Ischgl",2016,3,"2016-3-1",27,93
"Austria","Ischgl",2014,4,"2014-4-1",0,96
"Austria","Ischgl",2015,4,"2015-4-1",14,147
"Austria","Ischgl",2016,4,"2016-4-1",4,74
"Austria","Soll",2013,11,"2013-11-1",0,0
"Austria","Soll",2015,11,"2015-11-1",0,2
"Austria","Soll",2016,11,"2016-11-1",0,0
"Austria","Soll",2013,12,"2013-12-1",18,35
"Austria","Soll",2014,12,"2014-12-1",30,56
"Austria","Soll",2015,12,"2015-12-1",10,28
"Austria","Soll",2016,12,"2016-12-1",20,38
"Austria","Soll",2014,1,"2014-1-1",24,52
"Austria","Soll",2015,1,"2015-1-1",43,64
"Austria","Soll",2016,1,"2016-1-1",34,53
"Austria","Soll",2017,1,"2017-1-1",31,38
"Austria","Soll",2014,2,"2014-2-1",40,83
"Austria","Soll",2015,2,"2015-2-1",66,87
"Austria","Soll",2016,2,"2016-2-1",53,63
"Austria","Soll",2014,3,"2014-3-1",23,53
"Austria","Soll",2015,3,"2015-3-1",40,64
"Austria","Soll",2016,3,"2016-3-1",48,59
"Austria","Soll",2014,4,"2014-4-1",0,0
"Austria","Soll",2015,4,"2015-4-1",6,17
"Austria","Soll",2016,4,"2016-4-1",1,2
"Austria","Lech",2013,11,"2013-11-1",0,0
"Austria","Lech",2015,11,"2015-11-1",2,3
"Austria","Lech",2016,11,"2016-11-1",0,0
"Austria","Lech",2013,12,"2013-12-1",43,56
"Austria","Lech",2014,12,"2014-12-1",66,96
"Austria","Lech",2015,12,"2015-12-1",30,35
"Austria","Lech",2016,12,"2016-12-1",4,26
"Austria","Lech",2014,1,"2014-1-1",72,74
"Austria","Lech",2015,1,"2015-1-1",58,108
"Austria","Lech",2016,1,"2016-1-1",89,107
"Austria","Lech",2017,1,"2017-1-1",36,57
"Austria","Lech",2014,2,"2014-2-1",100,115
"Austria","Lech",2015,2,"2015-2-1",96,170
"Austria","Lech",2016,2,"2016-2-1",123,182
"Austria","Lech",2014,3,"2014-3-1",93,107
"Austria","Lech",2015,3,"2015-3-1",82,202
"Austria","Lech",2016,3,"2016-3-1",116,202
"Austria","Lech",2014,4,"2014-4-1",24,48
"Austria","Lech",2015,4,"2015-4-1",48,170
"Austria","Lech",2016,4,"2016-4-1",33,111
"Austria","Kuhtai",2013,11,"2013-11-1",0,0
"Austria","Kuhtai",2015,11,"2015-11-1",10,16
"Austria","Kuhtai",2016,11,"2016-11-1",2,3
"Austria","Kuhtai",2013,12,"2013-12-1",32,43
"Austria","Kuhtai",2014,12,"2014-12-1",43,80
"Austria","Kuhtai",2015,12,"2015-12-1",13,20
"Austria","Kuhtai",2016,12,"2016-12-1",14,19
