name,skipass,rank(5),altmin(m),altmax(m),totalpistes(km),bluepistes(km),redpistes(km),blackpistes(km),lifts,lift_Aerial_tramway/reversible_ropeway,lift_Circulating_ropeway/gondola_lift,lift_Combined_installation_(gondola_and_chair),lift_Chairlift,lift_T-bar_lift/platter/button_lift_,lift_Rope_tow/beginner_lift,lift_Sunkid_Moving_Carpet,lift_Funicular,lift_People_mover,lift_Cog_railway,lift_Snow_caterpillars_for_Cat-skiing,season_open,season_close,lattitude,longitude
Hoch-Imst – Imst,,,1053,2026,9,4,3,2,4,,,,2,1,1,4,,,,,2017-12-08,2018-03-18,47.24146,10.72304
Ifen,,3.2,1280,2030,19,10.6,6.2,2.2,4,,2,,1,1,,,,,,,2017-12-23,2018-04-08,48.1715905,11.8088589
Monte Popolo – Eben im Pongau,,3.3,862,1612,6,4,2,0,4,,,,2,1,1,,,,,,2017-12-16,2018-04-02,47.4022808,13.4001673
Muttereralmpark – Mutters/Götzens,,3.5,920,1800,16,7,8,1,4,,2,,1,1,,2,,,,,2017-12-08,2018-04-02,47.2226375,11.3659473
Bazora – Gurtis/Frastanz,,,900,1400,5,2,2,1,4,,,,,,,,,,,,,,47.1927703,9.6263728
Göllerlifts – Gscheid (St. Aegyd am Neuwalde),,,1000,1400,4,1,3,0,4,,,,,,,,,,,,,,47.8133513,15.4573121
Pfänder – Bregenz,,,421,1064,3,3,0,0,4,,,,,,,,,,,,,,47.5077869,9.7801581
Rofan – Maurach,,2.9,980,1840,11,1,8,2,4,1,,,2,,1,2,,,,,2017-12-22,2018-04-02,47.4458996,11.7645657
Aichelberglifts – Karlstift (Bad Großpertholz),,,900,1050,8,4,2.5,1.5,3,,,,,3,,,,,,,2017-12-08,2018-03-11,48.5961282,14.7513118
Kaiserau – Admont,,,1130,1370,3,2,1,0,3,,,,,3,,2,,,,,2017-12-16,2018-03-18,47.5422753,14.4716206
Kirchschlag bei Linz,,,750,900,3,2,1,0,3,,,,,3,,,,,,,,,48.4129959,14.2763981
Raggal,,,960,1300,7,4,3,0,3,,,,,3,,1,,,,,2017-12-08,2018-03-18,47.2118557,9.8366541
Schwabenbergarena – Turnau,,,780,1150,10,1,6,3,3,,,,,3,,,,,,,2017-12-07,2018-03-18,47.552143,15.34893
Seeberg – Seewiesen (Turnau),,,1100,1410,6,3,2,1,3,,,,,3,,,,,,,2017-12-09,2018-03-18,47.6259173,15.2823281
Teichalm – Fladnitz,,,1200,1450,4,1,2,1,3,,,,,3,,1,,,,,2017-12-08,2018-03-11,47.2852184,15.4779639
Turmkogel – Puchenstuben,,,870,1150,3.5,2,1.5,0,3,,,,,3,,1,,,,,2017-12-16,2018-03-11,47.9095897,15.2854085
Wachtberglifts – Weyregg am Attersee,,,482,823,4,2,2,0,3,,,,,3,,,,,,,,,47.8887885,13.5809265
Weissbriach (Gitschtal),,,820,1150,4,1,3,0,3,,,,,3,,,,1,,,2017-12-22,2018-03-18,46.6868257,13.2531933
Elfer – Neustift,,,981,2080,7,0,7,0,3,,1,,,2,,1,,,,,2017-12-02,2018-04-02,47.110918,11.31241
Furtnerlifts – Rohr im Gebirge,,,800,927,3.9,1.5,1.5,0.9,3,,,,,2,1,,,,,,,,47.90815,15.772033
Hinterreit – Saalfelden am Steinernen Meer,,,780,1125,5,3,2,0,3,,,,,2,1,,,,,,,,47.401196,12.888079
Hirschegger Dorflifte,,,900,1200,3,2.5,0.5,0,3,,,,,2,1,,,1,,,,,,
Hochmoos – Leutasch,,,1100,1360,8,4,3,1,3,,,,1,2,,,,,,,,,47.3659717,11.1676332
Kristberg – Silbertal,,3,889,1589,4.5,3,1.5,0,3,1,,,,2,,1,,,,,2017-12-15,2018-04-08,47.107596,9.98338
Lammeralm – Langenwang,,,980,1230,8.8,2.9,3.7,2.2,3,,,,1,2,,,,1,,,,,47.5891149,15.5952569
Schneeberg-Hagerlifte – Mitterland (Thiersee),,2.4,800,1000,3,0.8,2.1,0.1,3,,,,,2,1,1,,,,,2017-12-22,2018-03-18,47.5897289,12.0971415
Schönfeld – Thomatal,,,1740,2100,3,0.5,2.5,0,3,,,,,2,1,,,,,,,,46.9867018,13.7740575
Sonnberglifts – Wald am Schoberpass,,,850,1200,12,4,5,3,3,,,,,2,1,,,,,,2017-12-22,2018-03-18,47.4519248,14.6728442
St. Oswald (Kartitsch),,,1356,1820,4,1,3,0,3,,,,,2,1,,,1,,,,,46.7369,12.48
Steinberg am Rofan,,,1050,1250,1,1,0,0,3,,,,,2,1,,,,,,2017-12-22,2018-03-18,47.5150961,11.7968321
Wenigzell,,,940,1140,2,2,0,0,3,,,,,2,1,,,,,,,,47.426154,15.785673
Gaaler Lifte – Gaal,,,860,1230,6,3,2,1,3,,,,1,1,1,,,,,,2017-12-08,2018-03-25,47.266062,14.688689
Graukogel – Bad Gastein,Ski Amade,,1079,2007,11.9,3.5,6.4,2,3,,,,2,1,,,,,,,2017-12-22,2018-04-02,47.0972548,13.1714428
Hauereck – St. Kathrein am Hauenstein,,,1000,1305,5,2,2,1,3,,,,1,1,1,1,,,,,2017-12-08,2018-03-11,47.518616,15.6932775
Hausberglift – Waidring,,2.4,800,900,1.5,1.5,0,0,3,,,,,1,2,,,,,,,,47.587591,12.5644004
Kirchdorf,,2.7,640,780,5,3,2,0,3,,,,1,1,1,1,,,,,2017-12-16,2018-03-18,47.5573206,12.4474459
Knittellifte – Elbigenalp,,,1040,1140,2,1.5,0.5,0,3,,,,,1,2,,,,,,2017-12-18,2018-03-11,47.2845797,10.4155846
Maiskogel – Kaprun,,3.3,769,1733,20,14,5,1,3,,,,2,1,,1,,,,,2017-12-16,2018-04-02,47.273909,12.7573469
Nagelköpfl – Piesendorf,,,785,900,2,0.5,1.5,0,3,,,,,1,2,,,,,,2017-12-22,2018-03-11,47.2912969,12.6835104
Salamander – Puchberg am Schneeberg,,,810,1210,7.8,3.8,4,0,3,,,,1,1,1,1,,,,,2017-12-16,2018-03-25,47.7902578,15.9105658
Sportgastein,Ski Amade,,1590,2686,18.2,3.5,13.2,1.5,3,,2,,,1,,,,,,,2017-12-22,2018-04-15,47.06446,13.05954
Stanzach,,,940,1049,0.5,0.5,0,0,3,,,,,1,2,,,,,,2017-12-22,2018-03-18,47.3830235,10.5610272
Zauberberg Semmering,,3.2,985,1350,14,6.7,6.5,0.8,3,,1,,1,1,,,,,,,2017-12-08,2018-03-25,47.6314723,15.8294229
Fischbach,,,1060,1120,1.2,0.9,0.3,0,3,,,,,,,,,,,,,,49.4547325,7.9115208
Kluglifte Hebalm – Rettenbach (Deutschlandsberg),,,1350,1450,4,3,1,0,3,,,,,,,,,,,,,,46.908843,15.037018
Millrütte – Götzis,,,1075,1150,1,1,0,0,3,,,,,,3,,,,,,,,47.3431462,9.701648
Almblicklifts – Strallegg,,,800,1003,3,2,1,0,2,,,,,2,,1,,,,,2017-12-08,2018-03-18,,
Arralifts – Harmanschlag (St. Martin),,,740,860,4,2,2,0,2,,,,,2,,,,,,,,,48.65303,14.786427
Bodental – Unterbergen (Ferlach),,,1030,1200,2,1,1,0,2,,,,,2,,,,2,,,2017-12-16,2018-03-18,46.4772231,14.2285452
Holzmeisterlifts Sommeralm – St. Kathrein am Offenegg,,,1240,1400,3,2,1,0,2,,,,,2,,,,,,,,,47.3515164,15.5185013
Lechnerberg,,,770,835,1.5,1,0.5,0,2,,,,,2,,,,,,,,,47.9060043,13.322631
Maiszinken – Lunz am See,,,790,1030,4.5,2,2,0.5,2,,,,,2,,,,1,,,,,47.863931,15.068595
Nocksteinlifte – Koppl,,,694,795,1,1,0,0,2,,,,,2,,,,,,,,,47.8185355,13.1436213
Nussbaumerlifte – Hof bei Salzburg,,,756,875,1,0.5,0.5,0,2,,,,,2,,,,,,,,,47.8160114,13.2110602
Oberau (Wildschönau),,,900,1130,2,1,0,1,2,,,,,2,,,,,,,,,47.43957,12.04359
Pölzl Lifte – Kindberg,,,950,1150,4,2,1,1,2,,,,,2,,,,,,,,,47.5306829,15.4129777
Roggenboden,,,955,1000,1.2,1.2,0,0,2,,,,,2,,,,,,,,,47.4256196,12.0376455
Schmolllifte – Steinhaus am Semmering,,,840,1020,2,1.2,0.5,0.3,2,,,,,2,,,,,,,,,47.6133094,15.7921815
St. Corona am Wechsel,,,860,1200,2.5,0.5,2,0,2,,,,,2,,,,2,,,2017-12-08,2018-03-18,47.5862806,16.009009
Viehberg – Sandl,,,950,1112,3,3,0,0,2,,,,,2,,,,,,,,,48.54693,14.61387
Wimmerlifte – Purgstall bei Eggersdorf,,,450,500,0.4,0.4,0,0,2,,,,,2,,,,,,,,,47.1261442,15.5627116
Burglift – Stans,,2.6,570,690,0.5,0.5,0,0,2,,,,,1,1,2,,,,,2017-12-21,2018-03-10,,
Embach – Hörndl,,,1012,1296,3,2,1,0,2,,,,,1,1,,,,,,2017-12-22,2018-03-18,,
Feistritzsattel – Trattenbach,,,1100,1300,1.7,0,1.7,0,2,,,,,1,1,,,,,,,,47.5670005,15.8610476
Gaberl/Plankogel – Salla (Maria Lankowitz),,,1520,1600,1.2,1.2,0,0,2,,,,,1,1,,,,,,,,47.1123544,14.9162524
Gföllberglift – Holzgau,,,1108,1329,2.5,1.5,1,0,2,,,,,1,1,,,,,,2017-12-16,2018-03-18,,
Gröllerkopf – Übersaxen,,,1000,1200,3,1.5,1.5,0,2,,,,,1,1,,,,,,2017-12-16,2018-03-18,47.2583706,9.6823528
Hagenberglifte – Sulzberg,,,600,930,4.4,0.2,4.2,0,2,,,,,1,1,,,,,,,,,
Hansberg – St. Johann am Wimberg,,,740,850,1,0.5,0.5,0,2,,,,,1,1,2,,,,,,,48.4782224,14.1437318
Kesselmannlifte – Faistenau,,,800,855,0.9,0.9,0,0,2,,,,,1,1,,,,,,,,47.7829919,13.2447494
Kleinlobming,,,764,1000,1,0.2,0.8,0,2,,,,,1,1,,,,,,,,47.1492571,14.8489662
Kramsach,,2.3,575,650,0.4,0.4,0,0,2,,,,,1,1,,,,,,,,47.4435993,11.875953
Liebenau,,,940,1004,1,1,0,0,2,,,,,1,1,,,,,,,,51.4973299,9.2814946
