country,resort,name,year,month,date,lower,upper
Austria,Zurs-am-Arlberg,Zurs am Arlberg,2016,3,2016-03-01,115,201
Austria,Zurs-am-Arlberg,Zurs am Arlberg,2014,4,2014-04-01,24,48
Austria,Zurs-am-Arlberg,Zurs am Arlberg,2015,4,2015-04-01,47,169
Austria,Zurs-am-Arlberg,Zurs am Arlberg,2016,4,2016-04-01,33,111
Austria,Alpbach,Alpbach,2013,11,2013-11-01,0,0
Austria,Alpbach,Alpbach,2015,11,2015-11-01,0,3
Austria,Alpbach,Alpbach,2016,11,2016-11-01,0,0
Austria,Alpbach,Alpbach,2013,12,2013-12-01,15,54
Austria,Alpbach,Alpbach,2014,12,2014-12-01,20,61
Austria,Alpbach,Alpbach,2015,12,2015-12-01,4,40
Austria,Alpbach,Alpbach,2016,12,2016-12-01,31,43
Austria,Alpbach,Alpbach,2014,1,2014-01-01,34,76
Austria,Alpbach,Alpbach,2015,1,2015-01-01,37,85
Austria,Alpbach,Alpbach,2016,1,2016-01-01,36,92
Austria,Alpbach,Alpbach,2017,1,2017-01-01,41,72
Austria,Alpbach,Alpbach,2014,2,2014-02-01,30,99
Austria,Alpbach,Alpbach,2015,2,2015-02-01,53,121
Austria,Alpbach,Alpbach,2016,2,2016-02-01,36,119
Austria,Alpbach,Alpbach,2014,3,2014-03-01,29,95
Austria,Alpbach,Alpbach,2015,3,2015-03-01,49,108
Austria,Alpbach,Alpbach,2016,3,2016-03-01,49,139
Austria,Alpbach,Alpbach,2014,4,2014-04-01,7,38
Austria,Alpbach,Alpbach,2015,4,2015-04-01,11,42
Austria,Alpbach,Alpbach,2016,4,2016-04-01,1,27
Austria,Flachau,Flachau,2013,11,2013-11-01,2,22
Austria,Flachau,Flachau,2015,11,2015-11-01,7,15
Austria,Flachau,Flachau,2016,11,2016-11-01,0,57
Austria,Flachau,Flachau,2013,12,2013-12-01,36,100
Austria,Flachau,Flachau,2014,12,2014-12-01,41,91
Austria,Flachau,Flachau,2015,12,2015-12-01,30,50
Austria,Flachau,Flachau,2016,12,2016-12-01,30,98
Austria,Flachau,Flachau,2014,1,2014-01-01,22,108
Austria,Flachau,Flachau,2015,1,2015-01-01,64,142
Austria,Flachau,Flachau,2016,1,2016-01-01,42,79
Austria,Flachau,Flachau,2017,1,2017-01-01,60,130
Austria,Flachau,Flachau,2014,2,2014-02-01,13,132
Austria,Flachau,Flachau,2015,2,2015-02-01,64,165
Austria,Flachau,Flachau,2016,2,2016-02-01,54,117
Austria,Flachau,Flachau,2014,3,2014-03-01,31,130
Austria,Flachau,Flachau,2015,3,2015-03-01,47,149
Austria,Flachau,Flachau,2016,3,2016-03-01,55,130
Austria,Flachau,Flachau,2014,4,2014-04-01,21,79
Austria,Flachau,Flachau,2015,4,2015-04-01,15,49
Austria,Flachau,Flachau,2016,4,2016-04-01,8,27
Austria,Scheffau,Scheffau,2013,11,2013-11-01,0,0
Austria,Scheffau,Scheffau,2015,11,2015-11-01,0,2
Austria,Scheffau,Scheffau,2016,11,2016-11-01,0,0
Austria,Scheffau,Scheffau,2013,12,2013-12-01,17,31
Austria,Scheffau,Scheffau,2014,12,2014-12-01,30,56
Austria,Scheffau,Scheffau,2015,12,2015-12-01,10,28
Austria,Scheffau,Scheffau,2016,12,2016-12-01,20,37
Austria,Scheffau,Scheffau,2014,1,2014-01-01,21,49
Austria,Scheffau,Scheffau,2015,1,2015-01-01,43,65
Austria,Scheffau,Scheffau,2016,1,2016-01-01,34,53
Austria,Scheffau,Scheffau,2017,1,2017-01-01,31,38
Austria,Scheffau,Scheffau,2014,2,2014-02-01,36,69
Austria,Scheffau,Scheffau,2015,2,2015-02-01,66,87
Austria,Scheffau,Scheffau,2016,2,2016-02-01,52,63
Austria,Scheffau,Scheffau,2014,3,2014-03-01,20,52
